record_id,student_id,course_id,course_name,semester,year,grade,credits
1,STU0001,CS401,Machine Learning,Fall,2023,1.61,4
2,STU0001,CS201,Data Structures,Fall,2023,1.94,3
3,STU0001,CS501,Big Data,Spring,2023,1.32,3
4,STU0001,CS401,Machine Learning,Spring,2023,1.64,3
5,STU0001,CS201,Data Structures,Spring,2023,2.23,3
6,STU0001,CS301,Databases,Fall,2024,1.49,4
7,STU0001,CS201,Data Structures,Fall,2024,2.15,4
8,STU0001,CS401,Machine Learning,Fall,2024,2.27,4
9,STU0001,CS101,Intro to Programming,Spring,2024,2.3,4
10,STU0001,CS301,Databases,Spring,2024,2.78,3
11,STU0001,CS201,Data Structures,Spring,2024,2.39,4
12,STU0001,CS401,Machine Learning,Spring,2024,1.5,4
13,STU0001,CS201,Data Structures,Fall,2025,2.42,4
14,STU0001,CS301,Databases,Fall,2025,1.98,3
15,STU0001,CS401,Machine Learning,Spring,2025,2.33,3
16,STU0001,CS501,Big Data,Spring,2025,2.2,4
17,STU0001,CS101,Intro to Programming,Spring,2025,1.77,3
18,STU0001,CS201,Data Structures,Spring,2025,1.81,4
19,STU0002,CS101,Intro to Programming,Fall,2023,1.97,4
20,STU0002,CS301,Databases,Fall,2023,3.29,4
21,STU0002,CS501,Big Data,Fall,2023,2.4,4
22,STU0002,CS201,Data Structures,Fall,2023,2.42,4
23,STU0002,CS201,Data Structures,Spring,2023,1.8,3
24,STU0002,CS101,Intro to Programming,Spring,2023,2.22,4
25,STU0002,CS301,Databases,Spring,2023,2.11,4
26,STU0002,CS401,Machine Learning,Fall,2024,2.63,3
27,STU0002,CS501,Big Data,Fall,2024,2.67,4
28,STU0002,CS301,Databases,Spring,2024,2.62,4
29,STU0002,CS101,Intro to Programming,Spring,2024,1.91,3
30,STU0002,CS501,Big Data,Spring,2024,2.23,3
31,STU0002,CS201,Data Structures,Spring,2024,2.47,4
32,STU0002,CS401,Machine Learning,Fall,2025,2.99,3
33,STU0002,CS101,Intro to Programming,Fall,2025,2.09,4
34,STU0002,CS501,Big Data,Spring,2025,3.01,3
35,STU0002,CS401,Machine Learning,Spring,2025,3.04,4
36,STU0002,CS101,Intro to Programming,Spring,2025,2.6,3
37,STU0002,CS301,Databases,Spring,2025,2.27,4
38,STU0003,CS501,Big Data,Fall,2023,3.54,3
39,STU0003,CS301,Databases,Fall,2023,2.18,4
40,STU0003,CS401,Machine Learning,Fall,2023,3.43,4
41,STU0003,CS201,Data Structures,Spring,2023,3.1,3
42,STU0003,CS501,Big Data,Spring,2023,3.18,4
43,STU0003,CS101,Intro to Programming,Spring,2023,2.74,4
44,STU0003,CS301,Databases,Spring,2023,2.96,4
45,STU0003,CS101,Intro to Programming,Fall,2024,2.78,4
46,STU0003,CS501,Big Data,Fall,2024,3.07,4
47,STU0003,CS201,Data Structures,Fall,2024,2.69,4
48,STU0003,CS501,Big Data,Spring,2024,2.11,4
49,STU0003,CS101,Intro to Programming,Spring,2024,2.98,4
50,STU0003,CS301,Databases,Spring,2024,3.32,4
51,STU0003,CS401,Machine Learning,Fall,2025,2.75,4
52,STU0003,CS201,Data Structures,Fall,2025,3.29,4
53,STU0003,CS501,Big Data,Spring,2025,3.22,3
54,STU0003,CS201,Data Structures,Spring,2025,2.03,4
55,STU0003,CS301,Databases,Spring,2025,1.99,3
56,STU0003,CS401,Machine Learning,Spring,2025,2.67,3
57,STU0004,EN101,Engineering Drawing,Fall,2023,2.7,4
58,STU0004,EN301,Control Systems,Fall,2023,2.6,4
59,STU0004,EN201,Circuit Analysis,Fall,2023,2.85,4
60,STU0004,EN301,Control Systems,Spring,2023,3.08,4
61,STU0004,EN101,Engineering Drawing,Spring,2023,3.61,3
62,STU0004,EN201,Circuit Analysis,Spring,2023,3.14,3
63,STU0004,EN101,Engineering Drawing,Fall,2024,3.21,3
64,STU0004,EN301,Control Systems,Fall,2024,3.4,4
65,STU0004,EN201,Circuit Analysis,Fall,2024,2.46,4
66,STU0004,EN201,Circuit Analysis,Spring,2024,3.21,3
67,STU0004,EN101,Engineering Drawing,Spring,2024,3.06,3
68,STU0004,EN201,Circuit Analysis,Fall,2025,3.86,3
69,STU0004,EN301,Control Systems,Fall,2025,3.06,3
70,STU0004,EN301,Control Systems,Spring,2025,3.3,3
