student_id,course_id,date,status
STU0001,CS201,2025-01-01,present
STU0001,CS401,2025-01-03,late
STU0001,CS501,2025-01-07,absent
STU0001,CS101,2025-01-09,present
STU0001,CS101,2025-01-13,present
STU0001,CS101,2025-01-15,present
STU0001,CS301,2025-01-17,present
STU0001,CS401,2025-01-21,absent
STU0001,CS101,2025-01-23,present
STU0001,CS201,2025-01-27,present
STU0001,CS501,2025-01-29,present
STU0001,CS501,2025-01-31,late
STU0001,CS401,2025-02-04,absent
STU0001,CS201,2025-02-06,present
STU0001,CS101,2025-02-10,present
STU0001,CS401,2025-02-12,present
STU0001,CS401,2025-02-14,present
STU0001,CS401,2025-02-18,present
STU0001,CS101,2025-02-20,present
STU0001,CS101,2025-02-24,present
STU0001,CS301,2025-02-26,present
STU0001,CS501,2025-02-28,present
STU0001,CS501,2025-03-04,present
STU0001,CS301,2025-03-06,present
STU0001,CS401,2025-03-10,present
STU0001,CS501,2025-03-12,absent
STU0001,CS401,2025-03-14,present
STU0001,CS401,2025-03-18,present
STU0001,CS501,2025-03-20,present
STU0001,CS201,2025-03-24,present
STU0001,CS201,2025-03-26,present
STU0001,CS201,2025-03-28,present
STU0001,CS201,2025-04-01,present
STU0001,CS401,2025-04-03,late
STU0001,CS101,2025-04-07,late
STU0001,CS101,2025-04-09,absent
STU0001,CS401,2025-04-11,present
STU0001,CS101,2025-04-15,present
STU0001,CS301,2025-04-17,present
STU0001,CS501,2025-04-21,present
STU0001,CS101,2025-04-23,present
STU0001,CS101,2025-04-25,present
STU0001,CS501,2025-04-29,present
STU0002,CS401,2025-01-01,absent
STU0002,CS101,2025-01-03,present
STU0002,CS301,2025-01-07,present
STU0002,CS101,2025-01-09,present
STU0002,CS501,2025-01-13,present
STU0002,CS401,2025-01-15,present
STU0002,CS201,2025-01-17,present
STU0002,CS201,2025-01-21,late
STU0002,CS201,2025-01-23,absent
STU0002,CS201,2025-01-27,late
STU0002,CS301,2025-01-29,absent
STU0002,CS201,2025-01-31,present
STU0002,CS101,2025-02-04,absent
STU0002,CS401,2025-02-06,present
STU0002,CS301,2025-02-10,present
STU0002,CS501,2025-02-12,present
STU0002,CS401,2025-02-14,present
