course_id,course_name,department,credits,capacity,semester,year,enrolled_count
CS101,Intro to Programming,Computer Science,3,60,Fall,2023,29
CS101,Intro to Programming,Computer Science,3,60,Spring,2023,31
CS101,Intro to Programming,Computer Science,3,60,Fall,2024,34
CS101,Intro to Programming,Computer Science,3,60,Spring,2024,34
CS101,Intro to Programming,Computer Science,3,60,Fall,2025,43
CS101,Intro to Programming,Computer Science,3,60,Spring,2025,49
CS201,Data Structures,Computer Science,3,100,Fall,2023,56
CS201,Data Structures,Computer Science,3,100,Spring,2023,66
CS201,Data Structures,Computer Science,3,100,Fall,2024,73
CS201,Data Structures,Computer Science,3,100,Spring,2024,69
CS201,Data Structures,Computer Science,3,100,Fall,2025,71
CS201,Data Structures,Computer Science,3,100,Spring,2025,77
CS301,Databases,Computer Science,4,100,Fall,2023,40
CS301,Databases,Computer Science,4,100,Spring,2023,45
CS301,Databases,Computer Science,4,100,Fall,2024,54
CS301,Databases,Computer Science,4,100,Spring,2024,55
CS301,Databases,Computer Science,4,100,Fall,2025,61
CS301,Databases,Computer Science,4,100,Spring,2025,50
CS401,Machine Learning,Computer Science,4,100,Fall,2023,61
CS401,Machine Learning,Computer Science,4,100,Spring,2023,59
CS401,Machine Learning,Computer Science,4,100,Fall,2024,72
CS401,Machine Learning,Computer Science,4,100,Spring,2024,68
CS401,Machine Learning,Computer Science,4,100,Fall,2025,68
CS401,Machine Learning,Computer Science,4,100,Spring,2025,80
CS501,Big Data,Computer Science,3,60,Fall,2023,48
CS501,Big Data,Computer Science,3,60,Spring,2023,50
CS501,Big Data,Computer Science,3,60,Fall,2024,57
CS501,Big Data,Computer Science,3,60,Spring,2024,60
CS501,Big Data,Computer Science,3,60,Fall,2025,59
CS501,Big Data,Computer Science,3,60,Spring,2025,60
MT101,Calculus I,Mathematics,4,100,Fall,2023,42
MT101,Calculus I,Mathematics,4,100,Spring,2023,51
MT101,Calculus I,Mathematics,4,100,Fall,2024,49
MT101,Calculus I,Mathematics,4,100,Spring,2024,56
