student_id,week_start,logins,time_spent_minutes,assignments_submitted,forum_posts
STU0001,2025-01-01,3,212,1,0
STU0001,2025-01-08,4,144,2,3
STU0001,2025-01-15,7,107,1,1
STU0001,2025-01-22,5,206,1,1
STU0001,2025-01-29,6,195,1,2
STU0001,2025-02-05,5,181,3,2
STU0001,2025-02-12,4,102,2,3
STU0001,2025-02-19,7,172,3,0
STU0001,2025-02-26,5,116,3,1
STU0001,2025-03-05,3,109,3,3
STU0001,2025-03-12,6,162,3,2
STU0001,2025-03-19,3,152,2,2
STU0001,2025-03-26,9,215,1,0
STU0001,2025-04-02,7,104,1,2
STU0001,2025-04-09,5,135,1,1
STU0001,2025-04-16,6,154,2,0
STU0001,2025-04-23,3,183,1,1
STU0001,2025-04-30,3,147,1,2
STU0001,2025-05-07,9,158,2,0
STU0001,2025-05-14,3,102,1,1
STU0002,2025-01-01,7,241,3,2
STU0002,2025-01-08,7,241,3,1
STU0002,2025-01-15,8,230,3,1
STU0002,2025-01-22,8,165,3,0
STU0002,2025-01-29,9,219,4,2
STU0002,2025-02-05,10,247,3,0
STU0002,2025-02-12,10,180,2,0
STU0002,2025-02-19,5,144,2,0
STU0002,2025-02-26,8,151,2,3
STU0002,2025-03-05,5,240,3,1
STU0002,2025-03-12,6,236,2,0
STU0002,2025-03-19,5,207,4,0
STU0002,2025-03-26,9,242,2,0
STU0002,2025-04-02,4,150,3,1
STU0002,2025-04-09,5,187,2,2
STU0002,2025-04-16,4,180,3,2
STU0002,2025-04-23,8,223,2,2
STU0002,2025-04-30,5,241,2,1
STU0002,2025-05-07,6,167,3,2
STU0002,2025-05-14,10,227,4,2
STU0003,2025-01-01,8,194,2,1
STU0003,2025-01-08,8,223,2,3
STU0003,2025-01-15,7,191,4,1
STU0003,2025-01-22,6,195,3,2
STU0003,2025-01-29,7,241,3,2
STU0003,2025-02-05,11,266,2,4
STU0003,2025-02-12,6,178,3,4
STU0003,2025-02-19,8,257,3,2
STU0003,2025-02-26,6,198,4,4
STU0003,2025-03-05,8,155,3,3
STU0003,2025-03-12,10,202,4,1
STU0003,2025-03-19,7,249,3,3
STU0003,2025-03-26,6,242,2,3
STU0003,2025-04-02,10,242,2,1
STU0003,2025-04-09,7,222,3,3
