student_id,age,gender,department,enrollment_year,cumulative_gpa,is_active,is_dropout
STU0001,22,M,Computer Science,2021,2.11,1,0
STU0002,27,M,Computer Science,2021,2.55,1,0
STU0003,21,M,Computer Science,2022,2.76,1,0
STU0004,28,F,Engineering,2022,3.25,1,0
STU0005,27,M,Mathematics,2024,2.2,1,0
STU0006,23,M,Mathematics,2024,2.19,1,0
STU0007,19,F,Physics,2021,2.45,1,0
STU0008,18,M,Physics,2023,3.32,1,0
STU0009,26,F,Business,2021,2.23,1,0
STU0010,19,F,Engineering,2022,1.61,0,1
STU0011,19,F,Computer Science,2022,2.45,1,0
STU0012,23,F,Physics,2022,2.39,1,0
STU0013,26,M,Computer Science,2022,3.32,1,0
STU0014,22,M,Business,2024,3.97,1,0
STU0015,21,F,Physics,2021,3.55,1,0
STU0016,19,F,Business,2023,2.03,1,0
STU0017,24,F,Mathematics,2024,3.71,1,0
STU0018,20,F,Mathematics,2023,2.12,1,0
STU0019,27,M,Engineering,2024,2.5,1,0
STU0020,19,M,Mathematics,2024,3.39,1,0
STU0021,28,M,Mathematics,2022,2.56,1,0
STU0022,27,F,Business,2024,3.99,1,0
STU0023,28,F,Engineering,2021,3.3,1,0
STU0024,22,F,Physics,2021,2.59,1,0
STU0025,26,M,Computer Science,2023,3.4,1,0
STU0026,20,M,Physics,2022,2.43,1,0
STU0027,27,M,Engineering,2021,2.31,1,0
STU0028,22,M,Computer Science,2023,2.1,1,0
STU0029,19,M,Engineering,2021,3.33,1,0
STU0030,20,M,Engineering,2022,3.15,1,0
STU0031,21,M,Physics,2024,3.82,1,0
STU0032,28,F,Physics,2024,3.12,1,0
STU0033,19,M,Engineering,2024,2.12,1,0
STU0034,27,M,Physics,2021,2.88,1,0
STU0035,28,M,Computer Science,2021,1.65,0,1
STU0036,26,F,Physics,2021,2.1,1,0
STU0037,27,M,Mathematics,2022,2.94,1,0
STU0038,21,F,Business,2024,1.74,1,0
STU0039,25,M,Business,2024,3.66,1,0
STU0040,24,M,Computer Science,2021,3.32,1,0
STU0041,21,M,Mathematics,2022,2.84,1,0
STU0042,22,M,Business,2022,2.66,1,0
STU0043,18,M,Business,2021,3.13,1,0
STU0044,20,F,Computer Science,2022,2.52,1,0
STU0045,18,F,Mathematics,2024,1.91,0,1
STU0046,22,F,Physics,2024,2.56,1,0
STU0047,22,M,Mathematics,2022,2.04,1,0
STU0048,23,M,Engineering,2021,1.64,0,1
STU0049,20,M,Computer Science,2021,1.67,0,1
STU0050,27,M,Business,2021,2.12,1,0
STU0051,24,F,Engineering,2021,3.14,1,0
STU0052,28,M,Physics,2022,3.29,1,0
STU0053,20,F,Physics,2024,3.18,1,0
STU0054,19,M,Business,2023,1.52,1,0
STU0055,26,F,Computer Science,2022,2.16,1,0
STU0056,23,F,Computer Science,2022,2.21,1,0
STU0057,27,M,Engineering,2023,3.96,1,0
STU0058,28,F,Engineering,2023,1.76,1,0
STU0059,26,M,Computer Science,2021,1.89,0,1
STU0060,28,F,Physics,2022,3.09,1,0
STU0061,22,M,Engineering,2024,3.76,1,0
STU0062,22,M,Computer Science,2024,1.61,0,1
STU0063,25,F,Physics,2022,2.88,1,0
STU0064,19,M,Engineering,2021,1.69,1,0
STU0065,23,M,Engineering,2021,2.96,1,0
STU0066,18,M,Business,2022,2.27,1,0
STU0067,28,M,Physics,2022,2.12,1,0
STU0068,27,M,Physics,2024,3.37,1,0
STU0069,24,F,Mathematics,2022,1.56,1,0
STU0070,22,F,Business,2022,1.9,1,0
STU0071,21,F,Computer Science,2024,2.0,1,0
STU0072,21,M,Physics,2023,2.06,1,0
STU0073,22,F,Business,2023,3.66,1,0
STU0074,28,F,Physics,2024,3.95,1,0
STU0075,22,F,Computer Science,2021,1.95,1,0
STU0076,27,F,Computer Science,2021,2.59,1,0
STU0077,24,M,Business,2021,3.75,1,0
STU0078,24,M,Physics,2021,1.5,1,0
STU0079,19,F,Physics,2024,3.87,1,0
STU0080,28,F,Engineering,2023,3.62,1,0
STU0081,28,F,Engineering,2023,2.52,1,0
STU0082,21,F,Physics,2022,2.55,1,0
STU0083,24,M,Mathematics,2023,2.87,1,0
STU0084,21,F,Physics,2023,2.57,1,0
STU0085,25,F,Business,2024,3.19,1,0
STU0086,22,F,Mathematics,2021,2.79,1,0
STU0087,28,M,Computer Science,2022,2.28,1,0
STU0088,18,F,Mathematics,2021,2.11,1,0
STU0089,25,M,Engineering,2021,2.54,1,0
STU0090,24,M,Business,2024,2.11,1,0
STU0091,21,F,Computer Science,2024,1.94,1,0
STU0092,19,F,Computer Science,2022,2.64,1,0
STU0093,25,F,Engineering,2023,3.03,1,0
STU0094,20,F,Engineering,2024,3.36,1,0
STU0095,21,F,Business,2023,3.6,1,0
STU0096,28,F,Engineering,2024,2.1,1,0
STU0097,21,F,Computer Science,2023,2.18,1,0
STU0098,20,M,Engineering,2021,1.88,0,1
STU0099,24,F,Mathematics,2021,2.52,1,0
STU0100,21,F,Business,2021,3.58,1,0
STU0101,27,M,Engineering,2021,2.45,1,0
STU0102,24,F,Physics,2023,3.63,1,0
STU0103,25,F,Engineering,2022,2.05,1,0
STU0104,24,F,Business,2021,2.34,1,0
STU0105,20,M,Mathematics,2024,3.95,1,0
STU0106,19,M,Business,2021,3.11,1,0
STU0107,18,F,Business,2022,2.15,1,0
STU0108,23,F,Mathematics,2024,2.34,1,0
STU0109,22,F,Physics,2024,3.59,1,0
STU0110,23,M,Computer Science,2021,2.06,1,0
STU0111,21,M,Computer Science,2021,2.0,1,0
STU0112,21,M,Engineering,2022,1.82,1,0
STU0113,23,M,Business,2023,1.92,1,0
STU0114,19,F,Mathematics,2023,2.95,1,0
STU0115,24,M,Engineering,2024,3.85,1,0
STU0116,19,F,Computer Science,2022,3.24,1,0
STU0117,27,F,Engineering,2021,3.46,1,0
STU0118,28,F,Engineering,2024,2.43,1,0
STU0119,25,F,Computer Science,2024,1.76,1,0
STU0120,20,F,Mathematics,2024,3.33,1,0
STU0121,25,F,Engineering,2024,2.59,1,0
STU0122,19,F,Physics,2022,2.2,1,0
STU0123,27,F,Mathematics,2024,3.03,1,0
STU0124,25,M,Physics,2021,3.63,1,0
STU0125,23,F,Business,2022,3.49,1,0
STU0126,26,M,Physics,2023,1.53,1,0
STU0127,25,M,Mathematics,2024,2.89,1,0
STU0128,25,M,Business,2024,3.48,1,0
STU0129,24,F,Physics,2022,3.23,1,0
STU0130,25,F,Engineering,2023,2.88,1,0
STU0131,23,F,Business,2023,3.26,1,0
STU0132,21,M,Physics,2023,1.8,0,1
STU0133,21,F,Engineering,2022,2.04,1,0
STU0134,19,F,Physics,2023,3.58,1,0
STU0135,20,M,Mathematics,2023,2.26,1,0
STU0136,18,M,Physics,2021,2.88,1,0
STU0137,18,F,Business,2021,2.94,1,0
STU0138,23,F,Business,2024,1.96,0,1
STU0139,24,M,Computer Science,2021,2.73,1,0
STU0140,27,M,Mathematics,2022,3.87,1,0
STU0141,26,M,Mathematics,2021,3.41,1,0
STU0142,25,F,Engineering,2024,3.77,1,0
STU0143,22,M,Engineering,2024,2.92,1,0
STU0144,21,F,Engineering,2021,3.06,1,0
STU0145,21,M,Computer Science,2022,1.93,0,1
STU0146,27,M,Business,2024,2.67,1,0
STU0147,22,F,Mathematics,2023,3.26,1,0
STU0148,22,M,Computer Science,2022,3.47,1,0
STU0149,26,M,Business,2021,2.06,1,0
STU0150,19,F,Physics,2022,1.65,1,0
STU0151,25,F,Business,2021,3.22,1,0
STU0152,25,F,Physics,2024,1.7,0,1
STU0153,18,M,Physics,2023,1.73,1,0
STU0154,20,F,Physics,2021,2.68,1,0
STU0155,27,F,Physics,2022,2.59,1,0
STU0156,23,F,Computer Science,2024,2.52,1,0
STU0157,23,F,Computer Science,2022,2.53,1,0
STU0158,26,F,Physics,2024,1.59,0,1
STU0159,24,M,Physics,2021,3.66,1,0
STU0160,24,F,Engineering,2024,1.64,0,1
STU0161,21,M,Business,2021,2.17,1,0
STU0162,25,M,Physics,2024,1.8,1,0
STU0163,26,M,Mathematics,2023,1.53,0,1
STU0164,19,M,Computer Science,2024,3.12,1,0
STU0165,26,F,Business,2023,3.26,1,0
STU0166,21,M,Business,2024,2.64,1,0
STU0167,27,M,Business,2022,2.77,1,0
STU0168,24,F,Computer Science,2023,2.35,1,0
STU0169,22,F,Computer Science,2023,3.59,1,0
STU0170,26,F,Mathematics,2024,2.71,1,0
STU0171,25,M,Engineering,2024,3.83,1,0
STU0172,21,F,Mathematics,2024,3.64,1,0
STU0173,25,F,Computer Science,2023,3.26,1,0
STU0174,25,M,Business,2022,3.91,1,0
STU0175,19,F,Engineering,2023,3.69,1,0
STU0176,18,F,Computer Science,2024,3.31,1,0
STU0177,25,F,Mathematics,2021,3.45,1,0
STU0178,28,F,Physics,2024,1.7,0,1
STU0179,26,F,Physics,2024,1.59,0,1
STU0180,24,M,Mathematics,2021,3.95,1,0
STU0181,22,M,Business,2022,3.76,1,0
STU0182,22,F,Physics,2021,2.4,1,0
STU0183,26,M,Mathematics,2022,2.53,1,0
STU0184,19,F,Mathematics,2022,3.02,1,0
STU0185,25,M,Engineering,2022,3.78,1,0
STU0186,28,F,Mathematics,2024,2.13,1,0
STU0187,22,M,Computer Science,2024,3.19,1,0
STU0188,23,F,Computer Science,2024,3.97,1,0
STU0189,25,M,Business,2023,3.61,1,0
STU0190,19,F,Business,2024,2.09,1,0
STU0191,22,F,Engineering,2023,1.55,1,0
STU0192,27,M,Physics,2021,3.66,1,0
STU0193,22,M,Engineering,2024,3.44,1,0
STU0194,21,F,Engineering,2023,3.09,1,0
STU0195,28,F,Mathematics,2021,3.12,1,0
STU0196,27,M,Business,2021,2.41,1,0
STU0197,23,M,Computer Science,2023,3.37,1,0
STU0198,26,F,Mathematics,2022,3.69,1,0
STU0199,20,F,Engineering,2023,2.14,1,0
STU0200,19,M,Physics,2023,2.67,1,0
STU0201,28,F,Mathematics,2022,3.31,1,0
STU0202,19,M,Engineering,2023,3.48,1,0
STU0203,25,F,Physics,2021,2.42,1,0
STU0204,28,M,Engineering,2024,3.85,1,0
STU0205,18,F,Mathematics,2024,3.05,1,0
STU0206,28,F,Engineering,2022,1.66,1,0
STU0207,20,F,Business,2021,1.61,0,1
STU0208,21,M,Computer Science,2021,3.72,1,0
STU0209,23,F,Business,2024,3.18,1,0
STU0210,24,F,Engineering,2022,3.14,1,0
STU0211,22,F,Engineering,2024,1.58,0,1
STU0212,23,F,Business,2022,1.75,1,0
STU0213,22,F,Computer Science,2024,1.97,0,1
STU0214,28,M,Computer Science,2022,3.1,1,0
STU0215,21,M,Computer Science,2023,3.97,1,0
STU0216,27,M,Computer Science,2022,2.04,1,0
STU0217,27,M,Physics,2022,1.51,1,0
STU0218,20,M,Mathematics,2023,1.77,1,0
STU0219,21,M,Computer Science,2023,2.97,1,0
STU0220,18,M,Mathematics,2023,1.82,0,1
STU0221,25,M,Computer Science,2024,3.45,1,0
STU0222,27,F,Business,2022,1.61,1,0
STU0223,18,F,Business,2021,4.0,1,0
STU0224,25,F,Business,2021,3.28,1,0
STU0225,23,M,Computer Science,2021,3.02,1,0
STU0226,27,F,Mathematics,2023,3.08,1,0
STU0227,25,F,Business,2023,2.76,1,0
STU0228,28,M,Computer Science,2021,3.13,1,0
STU0229,21,F,Business,2024,2.53,1,0
STU0230,19,F,Business,2024,2.28,1,0
STU0231,20,F,Physics,2023,3.22,1,0
STU0232,19,F,Computer Science,2021,1.73,0,1
STU0233,27,F,Mathematics,2021,3.89,1,0
STU0234,23,F,Computer Science,2024,3.68,1,0
STU0235,27,M,Computer Science,2023,2.28,1,0
STU0236,20,M,Engineering,2022,3.14,1,0
STU0237,26,F,Computer Science,2023,2.42,1,0
STU0238,24,M,Engineering,2022,3.61,1,0
STU0239,18,F,Engineering,2023,1.95,1,0
STU0240,18,F,Physics,2023,1.95,0,1
STU0241,28,M,Computer Science,2022,3.93,1,0
STU0242,24,F,Engineering,2022,2.55,1,0
STU0243,22,M,Mathematics,2023,3.3,1,0
STU0244,20,M,Computer Science,2022,3.39,1,0
STU0245,25,F,Computer Science,2023,3.15,1,0
STU0246,24,M,Engineering,2024,2.18,1,0
STU0247,19,F,Physics,2024,2.21,1,0
STU0248,18,M,Engineering,2023,2.05,1,0
STU0249,22,M,Computer Science,2022,3.86,1,0
STU0250,23,F,Physics,2023,1.8,0,1
STU0251,24,M,Mathematics,2022,2.83,1,0
STU0252,19,M,Engineering,2023,2.49,1,0
STU0253,25,F,Business,2021,3.8,1,0
STU0254,27,F,Engineering,2024,2.51,1,0
STU0255,24,F,Physics,2021,1.55,0,1
STU0256,24,M,Physics,2021,3.61,1,0
STU0257,26,F,Business,2024,1.7,1,0
STU0258,20,M,Mathematics,2023,1.69,1,0
STU0259,28,M,Physics,2023,3.54,1,0
STU0260,22,M,Computer Science,2022,1.99,1,0
STU0261,25,F,Mathematics,2024,3.39,1,0
STU0262,28,F,Engineering,2023,2.29,1,0
STU0263,25,F,Computer Science,2024,3.08,1,0
STU0264,23,F,Engineering,2021,2.77,1,0
STU0265,18,M,Business,2024,1.64,1,0
STU0266,25,M,Computer Science,2024,2.95,1,0
STU0267,23,M,Business,2022,3.01,1,0
STU0268,19,F,Computer Science,2024,3.53,1,0
STU0269,18,F,Computer Science,2022,2.12,1,0
STU0270,23,F,Business,2022,2.43,1,0
STU0271,23,M,Business,2024,3.2,1,0
STU0272,23,F,Physics,2021,1.74,1,0
STU0273,23,F,Physics,2022,1.7,1,0
STU0274,20,M,Physics,2024,2.99,1,0
STU0275,28,M,Physics,2024,3.48,1,0
STU0276,28,F,Engineering,2021,3.18,1,0
STU0277,22,F,Computer Science,2023,1.95,0,1
STU0278,20,M,Mathematics,2022,1.89,0,1
STU0279,28,M,Engineering,2021,2.34,1,0
STU0280,20,M,Engineering,2024,1.91,1,0
STU0281,24,M,Business,2021,2.41,1,0
STU0282,25,M,Business,2023,2.09,1,0
STU0283,21,F,Physics,2024,2.42,1,0
STU0284,24,F,Business,2023,2.76,1,0
STU0285,27,F,Mathematics,2022,1.85,0,1
STU0286,26,F,Physics,2021,3.63,1,0
STU0287,22,M,Computer Science,2022,2.62,1,0
STU0288,21,F,Business,2021,3.54,1,0
STU0289,18,F,Computer Science,2024,2.49,1,0
STU0290,19,M,Mathematics,2024,2.44,1,0
STU0291,28,M,Physics,2021,2.34,1,0
STU0292,22,F,Mathematics,2021,3.79,1,0
STU0293,25,M,Mathematics,2024,3.04,1,0
STU0294,21,F,Computer Science,2023,3.59,1,0
STU0295,21,M,Computer Science,2023,2.25,1,0
STU0296,28,F,Mathematics,2024,3.48,1,0
STU0297,25,M,Computer Science,2021,2.99,1,0
STU0298,20,M,Engineering,2022,2.23,1,0
STU0299,21,M,Engineering,2023,2.93,1,0
STU0300,19,M,Computer Science,2023,3.88,1,0
STU0301,18,F,Business,2024,3.09,1,0
STU0302,23,F,Physics,2021,3.47,1,0
STU0303,27,F,Mathematics,2021,3.34,1,0
STU0304,23,M,Mathematics,2021,2.87,1,0
STU0305,28,F,Business,2024,1.96,0,1
STU0306,21,M,Computer Science,2023,1.61,0,1
STU0307,26,F,Physics,2023,2.5,1,0
STU0308,28,M,Physics,2021,1.98,0,1
STU0309,19,F,Physics,2023,3.5,1,0
STU0310,24,M,Business,2024,2.35,1,0
STU0311,23,F,Business,2024,3.81,1,0
STU0312,19,M,Computer Science,2024,2.58,1,0
STU0313,23,F,Engineering,2023,1.76,0,1
STU0314,27,M,Physics,2024,3.29,1,0
STU0315,25,F,Business,2023,1.61,1,0
STU0316,22,M,Engineering,2024,3.1,1,0
STU0317,23,M,Computer Science,2024,2.78,1,0
STU0318,27,F,Computer Science,2022,3.2,1,0
STU0319,19,F,Computer Science,2022,2.09,1,0
STU0320,27,F,Physics,2024,1.58,0,1
STU0321,25,M,Physics,2023,3.41,1,0
